"fastq_name","time","replicate","antibody","gsm","total_mapped","dedup","mapq","chr","qwidth","genebody","total_mapped","dedup","mapq","chr","qwidth","genebody"
"SRR11510187","1m",1,64,"GSM4459992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR11510188","1m",2,64,"GSM4459993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR11510189","2m",1,64,"GSM4459994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR11510190","2m",2,64,"GSM4459995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062627","5m",1,64,"GSM1985857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062628","5m",1,64,"GSM1985857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062629","5m",1,64,"GSM1985857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062630","5m",2,64,"GSM1985858",3571814,3398739,3211781,3206426,3206426,907664,3571814,3398739,3211781,3206426,3206426,907664
"SRR3062631","5m",2,64,"GSM1985858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062632","5m",2,64,"GSM1985858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062633","20m",1,64,"GSM1985859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062634","20m",1,64,"GSM1985859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062635","20m",2,64,"GSM1985860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062636","20m",2,64,"GSM1985860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062637","1h",1,64,"GSM1985861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062638","1h",1,64,"GSM1985861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062639","1h",2,64,"GSM1985862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062640","1h",2,64,"GSM1985862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062641","2h",1,64,"GSM1985863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062642","2h",1,64,"GSM1985863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062643","2h",2,64,"GSM1985864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062644","2h",2,64,"GSM1985864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062645","4h",1,64,"GSM1985865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062646","4h",1,64,"GSM1985865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062647","4h",2,64,"GSM1985866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRR3062648","4h",2,64,"GSM1985866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
